unicode.text,unicode.href,discrption,,,
U+1F316,http://apps.timwhitlock.info/unicode/inspect/hex/1F316,WANING GIBBOUS MOON SYMBOL,,,
U+1F317,http://apps.timwhitlock.info/unicode/inspect/hex/1F317,LAST QUARTER MOON SYMBOL,,,
U+1F318,http://apps.timwhitlock.info/unicode/inspect/hex/1F318,WANING CRESCENT MOON SYMBOL,,,
U+1F31A,http://apps.timwhitlock.info/unicode/inspect/hex/1F31A,NEW MOON WITH FACE,,,
U+1F31C,http://apps.timwhitlock.info/unicode/inspect/hex/1F31C,LAST QUARTER MOON WITH FACE,,,
U+1F31D,http://apps.timwhitlock.info/unicode/inspect/hex/1F31D,FULL MOON WITH FACE,,,
U+1F31E,http://apps.timwhitlock.info/unicode/inspect/hex/1F31E,SUN WITH FACE,,,
U+1F332,http://apps.timwhitlock.info/unicode/inspect/hex/1F332,EVERGREEN TREE,tree,,
U+1F333,http://apps.timwhitlock.info/unicode/inspect/hex/1F333,DECIDUOUS TREE,,,
U+1F34B,http://apps.timwhitlock.info/unicode/inspect/hex/1F34B,LEMON,lemon,,
U+1F350,http://apps.timwhitlock.info/unicode/inspect/hex/1F350,PEAR,pear,,
U+1F37C,http://apps.timwhitlock.info/unicode/inspect/hex/1F37C,BABY BOTTLE,baby,,
U+1F3C7,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C7,HORSE RACING,racing,,
U+1F3C9,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C9,RUGBY FOOTBALL,rugby,,
U+1F3E4,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E4,EUROPEAN POST OFFICE,,,
U+1F400,http://apps.timwhitlock.info/unicode/inspect/hex/1F400,RAT,rat,,
U+1F401,http://apps.timwhitlock.info/unicode/inspect/hex/1F401,MOUSE,mouse,,
U+1F402,http://apps.timwhitlock.info/unicode/inspect/hex/1F402,OX,ox,,
U+1F403,http://apps.timwhitlock.info/unicode/inspect/hex/1F403,WATER BUFFALO,,,
U+1F404,http://apps.timwhitlock.info/unicode/inspect/hex/1F404,COW,,,
U+1F405,http://apps.timwhitlock.info/unicode/inspect/hex/1F405,TIGER,tiger,,
U+1F406,http://apps.timwhitlock.info/unicode/inspect/hex/1F406,LEOPARD,leopard,,
U+1F407,http://apps.timwhitlock.info/unicode/inspect/hex/1F407,RABBIT,rabbit,,
U+1F408,http://apps.timwhitlock.info/unicode/inspect/hex/1F408,CAT,,,
U+1F409,http://apps.timwhitlock.info/unicode/inspect/hex/1F409,DRAGON,,,
U+1F40A,http://apps.timwhitlock.info/unicode/inspect/hex/1F40A,CROCODILE,,,
U+1F40B,http://apps.timwhitlock.info/unicode/inspect/hex/1F40B,WHALE,,,
U+1F40F,http://apps.timwhitlock.info/unicode/inspect/hex/1F40F,RAM,,,
U+1F410,http://apps.timwhitlock.info/unicode/inspect/hex/1F410,GOAT,,,
U+1F413,http://apps.timwhitlock.info/unicode/inspect/hex/1F413,ROOSTER,,,
U+1F415,http://apps.timwhitlock.info/unicode/inspect/hex/1F415,DOG,,,
U+1F416,http://apps.timwhitlock.info/unicode/inspect/hex/1F416,PIG,,,
U+1F42A,http://apps.timwhitlock.info/unicode/inspect/hex/1F42A,DROMEDARY CAMEL,,,
U+1F465,http://apps.timwhitlock.info/unicode/inspect/hex/1F465,BUSTS IN SILHOUETTE,,,
U+1F46C,http://apps.timwhitlock.info/unicode/inspect/hex/1F46C,TWO MEN HOLDING HANDS,,,
U+1F46D,http://apps.timwhitlock.info/unicode/inspect/hex/1F46D,TWO WOMEN HOLDING HANDS,,,
U+1F4AD,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AD,THOUGHT BALLOON,,,
U+1F4B6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B6,BANKNOTE WITH EURO SIGN,,,
U+1F4B7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B7,BANKNOTE WITH POUND SIGN,,,
U+1F4EC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4EC,OPEN MAILBOX WITH RAISED FLAG,,,
U+1F4ED,http://apps.timwhitlock.info/unicode/inspect/hex/1F4ED,OPEN MAILBOX WITH LOWERED FLAG,,,
U+1F4EF,http://apps.timwhitlock.info/unicode/inspect/hex/1F4EF,POSTAL HORN,,,
U+1F4F5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F5,NO MOBILE PHONES,,,
U+1F500,http://apps.timwhitlock.info/unicode/inspect/hex/1F500,TWISTED RIGHTWARDS ARROWS,,,
U+1F501,http://apps.timwhitlock.info/unicode/inspect/hex/1F501,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS,,,
U+1F502,http://apps.timwhitlock.info/unicode/inspect/hex/1F502,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY,,,
U+1F504,http://apps.timwhitlock.info/unicode/inspect/hex/1F504,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,,,
U+1F505,http://apps.timwhitlock.info/unicode/inspect/hex/1F505,LOW BRIGHTNESS SYMBOL,,,
U+1F506,http://apps.timwhitlock.info/unicode/inspect/hex/1F506,HIGH BRIGHTNESS SYMBOL,,,
U+1F507,http://apps.timwhitlock.info/unicode/inspect/hex/1F507,SPEAKER WITH CANCELLATION STROKE,,,
U+1F509,http://apps.timwhitlock.info/unicode/inspect/hex/1F509,SPEAKER WITH ONE SOUND WAVE,,,
U+1F515,http://apps.timwhitlock.info/unicode/inspect/hex/1F515,BELL WITH CANCELLATION STROKE,,,
U+1F52C,http://apps.timwhitlock.info/unicode/inspect/hex/1F52C,MICROSCOPE,,,
U+1F52D,http://apps.timwhitlock.info/unicode/inspect/hex/1F52D,TELESCOPE,,,
U+1F55C,http://apps.timwhitlock.info/unicode/inspect/hex/1F55C,CLOCK FACE ONE-THIRTY,,,
U+1F55D,http://apps.timwhitlock.info/unicode/inspect/hex/1F55D,CLOCK FACE TWO-THIRTY,,,
U+1F55E,http://apps.timwhitlock.info/unicode/inspect/hex/1F55E,CLOCK FACE THREE-THIRTY,,,
U+1F55F,http://apps.timwhitlock.info/unicode/inspect/hex/1F55F,CLOCK FACE FOUR-THIRTY,,,
U+1F560,http://apps.timwhitlock.info/unicode/inspect/hex/1F560,CLOCK FACE FIVE-THIRTY,,,
U+1F561,http://apps.timwhitlock.info/unicode/inspect/hex/1F561,CLOCK FACE SIX-THIRTY,,,
U+1F562,http://apps.timwhitlock.info/unicode/inspect/hex/1F562,CLOCK FACE SEVEN-THIRTY,,,
U+1F563,http://apps.timwhitlock.info/unicode/inspect/hex/1F563,CLOCK FACE EIGHT-THIRTY,,,
U+1F564,http://apps.timwhitlock.info/unicode/inspect/hex/1F564,CLOCK FACE NINE-THIRTY,,,
U+1F565,http://apps.timwhitlock.info/unicode/inspect/hex/1F565,CLOCK FACE TEN-THIRTY,,,
U+1F566,http://apps.timwhitlock.info/unicode/inspect/hex/1F566,CLOCK FACE ELEVEN-THIRTY,,,
U+1F567,http://apps.timwhitlock.info/unicode/inspect/hex/1F567,CLOCK FACE TWELVE-THIRTY,,,
